supplier_name,industry
上海冠龙阀门节能设备股份有限公司,机械设备
无锡信捷电气股份有限公司,工业自动化
北京康斯特仪表科技股份有限公司,仪器仪表与传感器
上海飞乐音响股份有限公司,电气设备
中材科技股份有限公司,光伏、储能与新能源设备
中信泰富特钢集团股份有限公司,金属与基础材料
上海金力泰化工股份有限公司,化工与新材料
中红普林医疗用品股份有限公司,橡胶与塑料制品
北京嘉曼服饰股份有限公司,纺织与工业用布
北京市春立正达医疗器械股份有限公司,医疗器械
上海海利生物技术股份有限公司,医药与原料药制造
四川金时科技股份有限公司,包装、纸制品与印刷材料
东莞市奥海科技股份有限公司,电子元器件
上海艾为电子技术股份有限公司,半导体
上海沿浦精工科技(集团)股份有限公司,汽车零部件
上海凤凰企业(集团)股份有限公司,机械设备
杭州凯尔达焊接机器人股份有限公司,工业自动化
北京必创科技股份有限公司,仪器仪表与传感器
上海飞科电器股份有限公司,电气设备
中矿资源集团股份有限公司,光伏、储能与新能源设备
中再资源环境股份有限公司,金属与基础材料
上海雅运纺织化工股份有限公司,化工与新材料
中裕软管科技股份有限公司,橡胶与塑料制品
华孚时尚股份有限公司,纺织与工业用布
南京麦澜德医疗科技股份有限公司,医疗器械
上海海欣集团股份有限公司,医药与原料药制造
安徽强邦新材料股份有限公司,包装、纸制品与印刷材料
东莞市宇瞳光学科技股份有限公司,电子元器件
上海芯导电子科技股份有限公司,半导体
上海维科精密模塑股份有限公司,汽车零部件
上海创力集团股份有限公司,机械设备
武汉华中数控股份有限公司,工业自动化
北京恒合信业技术股份有限公司,仪器仪表与传感器
上海鸣志电器股份有限公司,电气设备
乐凯胶片股份有限公司,光伏、储能与新能源设备
中和上大航空材料股份有限公司,金属与基础材料
上纬新材料科技股份有限公司,化工与新材料
会通新材料股份有限公司,橡胶与塑料制品
华峰化学股份有限公司,纺织与工业用布
南微医学科技股份有限公司,医疗器械
上海海顺新型药用包装材料股份有限公司,医药与原料药制造
安徽林平循环发展股份有限公司,包装、纸制品与印刷材料
东莞市达瑞电子股份有限公司,电子元器件
上海贝岭股份有限公司,半导体
上海联明机械股份有限公司,汽车零部件
上海华依科技集团股份有限公司,机械设备
沈阳新松机器人自动化股份有限公司,工业自动化
北京煜邦电力技术股份有限公司,仪器仪表与传感器
上能电气股份有限公司,电气设备
云南恩捷新材料(集团)股份有限公司,光伏、储能与新能源设备
中国北方稀土(集团)高科技股份有限公司,金属与基础材料
东来涂料技术(上海)股份有限公司,化工与新材料
佛山佛塑科技集团股份有限公司,橡胶与塑料制品
华纺股份有限公司,纺织与工业用布
可孚医疗科技股份有限公司,医疗器械
上海现代制药股份有限公司,医药与原料药制造
安徽集友新材料股份有限公司,包装、纸制品与印刷材料
东莞市鼎通精密科技股份有限公司,电子元器件
上海飞凯材料科技股份有限公司,半导体
上海通领汽车科技股份有限公司,汽车零部件
上海华铭智能终端设备股份有限公司,机械设备
派斯林数字科技股份有限公司,工业自动化
北京莱伯泰科仪器股份有限公司,仪器仪表与传感器
东南电子股份有限公司,电气设备
五矿新能源材料(湖南)股份有限公司,光伏、储能与新能源设备
中国国际海运集装箱(集团)股份有限公司,金属与基础材料
东莞市汉维科技股份有限公司,化工与新材料
佳通轮胎股份有限公司,橡胶与塑料制品
南京化纤股份有限公司,纺织与工业用布
哈尔滨敷尔佳科技股份有限公司,医疗器械
上海盟科药业股份有限公司,医药与原料药制造
宜宾纸业股份有限公司,包装、纸制品与印刷材料
东莞捷荣技术股份有限公司,电子元器件
东芯半导体股份有限公司,半导体
东风汽车股份有限公司,汽车零部件
上海卓然工程技术股份有限公司,机械设备
浙江禾川科技股份有限公司,工业自动化
北京雪迪龙科技股份有限公司,仪器仪表与传感器
东莞勤上光电股份有限公司,电气设备
亿晶光电科技股份有限公司,光伏、储能与新能源设备
中国巨石股份有限公司,金属与基础材料
东莞长联新材料科技股份有限公司,化工与新材料
元创科技股份有限公司,橡胶与塑料制品
厦门延江新材料股份有限公司,纺织与工业用布
奥精医疗科技股份有限公司,医疗器械
上海睿昂基因科技股份有限公司,医药与原料药制造
山东华泰纸业股份有限公司,包装、纸制品与印刷材料
东莞铭普光磁股份有限公司,电子元器件
中微半导体(深圳)股份有限公司,半导体
东风电子科技股份有限公司,汽车零部件
上海博隆装备技术股份有限公司,机械设备
深圳市核达中远通电源技术股份有限公司,工业自动化
南京新联电子股份有限公司,仪器仪表与传感器
中国西电电气股份有限公司,电气设备
公元股份有限公司,光伏、储能与新能源设备
中国稀土集团资源科技股份有限公司,金属与基础材料
中化国际(控股)股份有限公司,化工与新材料
南京沪江复合材料股份有限公司,橡胶与塑料制品
吉林化纤股份有限公司,纺织与工业用布
宁波天益医疗器械股份有限公司,医疗器械
上海神奇制药投资管理股份有限公司,医药与原料药制造
山东博汇纸业股份有限公司,包装、纸制品与印刷材料
中信科移动通信技术股份有限公司,电子元器件
中微半导体设备(上海)股份有限公司,半导体
中原内配集团股份有限公司,汽车零部件
上海古鳌电子科技股份有限公司,机械设备
深圳市正弦电气股份有限公司,工业自动化
南京波长光电科技股份有限公司,仪器仪表与传感器
中山大洋电机股份有限公司,电气设备
兰州兰石重型装备股份有限公司,光伏、储能与新能源设备
中国铝业股份有限公司,金属与基础材料
中国石化上海石油化工股份有限公司,化工与新材料
南京聚隆科技股份有限公司,橡胶与塑料制品
吉林碳谷碳纤维股份有限公司,纺织与工业用布
宁波戴维医疗器械股份有限公司,医疗器械
上海科华生物工程股份有限公司,医药与原料药制造
山东太阳纸业股份有限公司,包装、纸制品与印刷材料
中光学集团股份有限公司,电子元器件
中电科芯片技术股份有限公司,半导体
中国重汽集团济南卡车股份有限公司,汽车零部件
上海唯赛勃新材料股份有限公司,机械设备
深圳市蓝海华腾技术股份有限公司,工业自动化
南京灿能电力自动化股份有限公司,仪器仪表与传感器
中电电机股份有限公司,电气设备
内蒙古欧晶科技股份有限公司,光伏、储能与新能源设备
中建西部建设股份有限公司,金属与基础材料
中广核核技术发展股份有限公司,化工与新材料
南京肯特复合材料股份有限公司,橡胶与塑料制品
四川浪莎控股股份有限公司,纺织与工业用布
安徽宏宇五洲医疗器械股份有限公司,医疗器械
上海艾力斯医药科技股份有限公司,医药与原料药制造
山东新巨丰科技包装股份有限公司,包装、纸制品与印刷材料
中兴通讯股份有限公司,电子元器件
中颖电子股份有限公司,半导体
中通客车股份有限公司,汽车零部件
上海复洁科技股份有限公司,机械设备
深圳市金奥博科技股份有限公司,工业自动化
南京茂莱光学科技股份有限公司,仪器仪表与传感器
中能电气股份有限公司,电气设备
冠城大通新材料股份有限公司,光伏、储能与新能源设备
中钢洛耐科技股份有限公司,金属与基础材料
中盐内蒙古化工股份有限公司,化工与新材料
南通通易航天科技股份有限公司,橡胶与塑料制品
地素时尚股份有限公司,纺织与工业用布
山东威高骨科材料股份有限公司,医疗器械
上海莱士血液制品股份有限公司,医药与原料药制造
山东晨鸣纸业集团股份有限公司,包装、纸制品与印刷材料
中国东方红卫星股份有限公司,电子元器件
